0.3441335049207176,Percent of Students with High Needs
0.2762323168930476,Percent of Students who are Economically Disadvantaged
0.08403960445293038,Percent of Students who are Hispanic
0.06079655238269238,Percent of Students who are Asian
0.014511262765877915,Percent of Students who are White
0.008874744977337028,"Percent of Multi-Racial, Non-Hispanic Students"
0.008854429077447573,Percent of Students with Disabilities
0.008386105517392066,Percent of Population over 25 whose highest level of education is an Associate's Degree
0.006706729984137352,Percent of students who are Male
0.005746400179642087,Average Salary
